     ^22/22<num>$ ^ntɑ/*ntɑ$
     ^13/13<num>$ ^nǔmmbə̂/*nǔmmbə̂$
     ^13/13<num>$ ^njɑ̂/*njɑ̂$
     ^13/13<num>$ ^bɑ̌/*bɑ̌$
     ^11/11<num>$ ^ndôʼ/*ndôʼ$
     ^10/10<num>$ ^sə̂/*sə̂$
     ^10/10<num>$ ^lǎ/*lǎ$
      ^9/9<num>$ ^ncò/*ncò$
      ^9/9<num>$ ^mbɔ̀/*mbɔ̀$
      ^9/9<num>$ ^làʼ/*làʼ$
      ^9/9<num>$ ^cɛ̀n/*cɛ̀n$
      ^9/9<num>$ ^Bîn/*Bîn$
      ^8/8<num>$ ^tsə̀moʼo/*tsə̀moʼo$
      ^8/8<num>$ ^tɛ̀d/*tɛ̀d$
      ^8/8<num>$ ^ntɑm/*ntɑm$
      ^8/8<num>$ ^njîm/*njîm$
      ^8/8<num>$ ^ngə̀lâŋ/*ngə̀lâŋ$
      ^8/8<num>$ ^ndɔtə/*ndɔtə$
      ^8/8<num>$ ^ncôb/*ncôb$
      ^8/8<num>$ ^ncàŋ/*ncàŋ$
      ^8/8<num>$ ^mî/*mî$
      ^8/8<num>$ ^kud/*kud$
      ^8/8<num>$ ^Jʉ̀/*Jʉ̀$
      ^8/8<num>$ ^Bʉ̂/*Bʉ̂$
      ^7/7<num>$ ^tǔn/*tǔn$
      ^7/7<num>$ ^tswə̂/*tswə̂$
      ^7/7<num>$ ^nǔ/*nǔ$
      ^7/7<num>$ ^ntsiâŋ/*ntsiâŋ$
      ^7/7<num>$ ^nkəʼ/*nkəʼ$
      ^7/7<num>$ ^ŋambɑhɑ/*ŋambɑhɑ$
      ^7/7<num>$ ^ndʉ̂gə/*ndʉ̂gə$
      ^7/7<num>$ ^ndàʼ/*ndàʼ$
      ^7/7<num>$ ^ndʉ̌/*ndʉ̌$
      ^7/7<num>$ ^nâʼ/*nâʼ$
      ^7/7<num>$ ^mɛ̌n/*mɛ̌n$
      ^7/7<num>$ ^mbɛdtə̂/*mbɛdtə̂$
      ^7/7<num>$ ^mbàŋ/*mbàŋ$
      ^7/7<num>$ ^mɑ̂/*mɑ̂$
      ^7/7<num>$ ^kwàtə̀/*kwàtə̀$
      ^7/7<num>$ ^kʉd/*kʉd$
      ^7/7<num>$ ^cʉ̀ʼ/*cʉ̀ʼ$
      ^7/7<num>$ ^bə̌n/*bə̌n$
      ^7/7<num>$ ^bǎm/*bǎm$
      ^6/6<num>$ ^zənnî/*zənnî$
      ^6/6<num>$ ^yənnɑ/*yənnɑ$
      ^6/6<num>$ ^wə/*wə$
      ^6/6<num>$ ^wǎ/*wǎ$
      ^6/6<num>$ ^tsiàŋtə̌/*tsiàŋtə̌$
      ^6/6<num>$ ^sɑ̂mju/*sɑ̂mju$
      ^6/6<num>$ ^ntsə̂/*ntsə̂$
      ^6/6<num>$ ^nsà/*nsà$
      ^6/6<num>$ ^nkuɑ/*nkuɑ$
      ^6/6<num>$ ^ngû/*ngû$
      ^6/6<num>$ ^Ngǎntəʼ/*Ngǎntəʼ$
      ^6/6<num>$ ^mfâʼ/*mfâʼ$
      ^6/6<num>$ ^lɑ̀/*lɑ̀$
      ^6/6<num>$ ^kùʼnǐ/*kùʼnǐ$
      ^6/6<num>$ ^ghǒn/*ghǒn$
      ^6/6<num>$ ^de/*de$
      ^6/6<num>$ ^Afrika/*Afrika$
      ^5/5<num>$ ^zîd/*zîd$
      ^5/5<num>$ ^yǒg/*yǒg$
      ^5/5<num>$ ^Tǔnndɑ/*Tǔnndɑ$
      ^5/5<num>$ ^tʉsɔ/*tʉsɔ$
      ^5/5<num>$ ^tsiàŋtə̀/*tsiàŋtə̀$
      ^5/5<num>$ ^swɛ̌n/*swɛ̌n$
      ^5/5<num>$ ^sâ/*sâ$
      ^5/5<num>$ ^ntûmnyàm/*ntûmnyàm$
      ^5/5<num>$ ^njog/*njog$
      ^5/5<num>$ ^Ŋwàʼnì/*Ŋwàʼnì$
      ^5/5<num>$ ^ngàtswìtə̀/*ngàtswìtə̀$
      ^5/5<num>$ ^nɑ̂b/*nɑ̂b$
      ^5/5<num>$ ^nɑ̀/*nɑ̀$
      ^5/5<num>$ ^Mə̀dʉ̂mbɑ̀/*Mə̀dʉ̂mbɑ̀$
      ^5/5<num>$ ^mbû/*mbû$
      ^5/5<num>$ ^mbâtə/*mbâtə$
      ^5/5<num>$ ^Ghǎ/*Ghǎ$
      ^5/5<num>$ ^fitə̀/*fitə̀$
      ^5/5<num>$ ^dùm/*dùm$
      ^4/4<num>$ ^zitə/*zitə$
      ^4/4<num>$ ^Yɑùndɛ̀/*Yɑùndɛ̀$
      ^4/4<num>$ ^wəlô/*wəlô$
      ^4/4<num>$ ^tǔnndɑ̂/*tǔnndɑ̂$
      ^4/4<num>$ ^tʉsɔ̀/*tʉsɔ̀$
      ^4/4<num>$ ^tʉsɔ̌/*tʉsɔ̌$
      ^4/4<num>$ ^sǔ/*sǔ$
      ^4/4<num>$ ^Sɑ̂mmɛ̀n/*Sɑ̂mmɛ̀n$
      ^4/4<num>$ ^ntum/*ntum$
      ^4/4<num>$ ^ntam/*ntam$
      ^4/4<num>$ ^nkud/*nkud$
      ^4/4<num>$ ^nkòʼ/*nkòʼ$
      ^4/4<num>$ ^njun/*njun$
      ^4/4<num>$ ^njə̂m/*njə̂m$
      ^4/4<num>$ ^ŋwàʼnǐ/*ŋwàʼnǐ$
      ^4/4<num>$ ^ngǒn/*ngǒn$
      ^4/4<num>$ ^ngə̀/*ngə̀$
      ^4/4<num>$ ^Ngaman/*Ngaman$
      ^4/4<num>$ ^ncòbncʉ̀ʼ/*ncòbncʉ̀ʼ$
      ^4/4<num>$ ^nândɑ/*nândɑ$
      ^4/4<num>$ ^mì/*mì$
      ^4/4<num>$ ^Mfətòm/*Mfətòm$
      ^4/4<num>$ ^mbînyàm/*mbînyàm$
      ^4/4<num>$ ^mbɑhɑ/*mbɑhɑ$
      ^4/4<num>$ ^lêʼ/*lêʼ$
      ^4/4<num>$ ^kwàtə̌/*kwàtə̌$
      ^4/4<num>$ ^koʼ/*koʼ$
      ^4/4<num>$ ^ghǎ/*ghǎ$
      ^4/4<num>$ ^et/*et$
      ^4/4<num>$ ^Dʉ̂ʼ/*Dʉ̂ʼ$
      ^4/4<num>$ ^càŋ/*càŋ$
      ^4/4<num>$ ^caʼ/*caʼ$
      ^4/4<num>$ ^bwə̂/*bwə̂$
      ^4/4<num>$ ^bôn/*bôn$
      ^4/4<num>$ ^bə̌nnzwi/*bə̌nnzwi$
      ^4/4<num>$ ^bə̀nntʉ̌n/*bə̀nntʉ̌n$
      ^3/3<num>$ ^ywìd/*ywìd$
      ^3/3<num>$ ^yîd/*yîd$
      ^3/3<num>$ ^wə̀/*wə̀$
      ^3/3<num>$ ^Template/*Template$
      ^3/3<num>$ ^tə̂/*tə̂$
      ^3/3<num>$ ^swɛ̂n/*swɛ̂n$
      ^3/3<num>$ ^sɑnə/*sɑnə$
      ^3/3<num>$ ^Potugal/*Potugal$
      ^3/3<num>$ ^nyìkəkɑn/*nyìkəkɑn$
      ^3/3<num>$ ^Nǔ/*Nǔ$
      ^3/3<num>$ ^nswɛ̂n/*nswɛ̂n$
      ^3/3<num>$ ^nkwâtə/*nkwâtə$
      ^3/3<num>$ ^nkûʼ/*nkûʼ$
      ^3/3<num>$ ^nkʉ̀n/*nkʉ̀n$
      ^3/3<num>$ ^nkitə/*nkitə$
      ^3/3<num>$ ^nkem/*nkem$
      ^3/3<num>$ ^nkɑ̂b/*nkɑ̂b$
      ^3/3<num>$ ^nkab/*nkab$
      ^3/3<num>$ ^nkɑ/*nkɑ$
      ^3/3<num>$ ^Njôŋ/*Njôŋ$
      ^3/3<num>$ ^njôn/*njôn$
      ^3/3<num>$ ^njǒn/*njǒn$
      ^3/3<num>$ ^njə̂n/*njə̂n$
      ^3/3<num>$ ^njàŋ/*njàŋ$
      ^3/3<num>$ ^njâ/*njâ$
      ^3/3<num>$ ^Ngwìdcu/*Ngwìdcu$
      ^3/3<num>$ ^ngǔʼ/*ngǔʼ$
      ^3/3<num>$ ^ngɔ̌ngɔ̀/*ngɔ̌ngɔ̀$
      ^3/3<num>$ ^ngòkɛd/*ngòkɛd$
      ^3/3<num>$ ^Ngǎtə̀ʼ/*Ngǎtə̀ʼ$
      ^3/3<num>$ ^nə̀tɛ̌d/*nə̀tɛ̌d$
      ^3/3<num>$ ^nə̀nɑ̀/*nə̀nɑ̀$
      ^3/3<num>$ ^ndà/*ndà$
      ^3/3<num>$ ^ncuɑ/*ncuɑ$
      ^3/3<num>$ ^ncʉ̌ʼ/*ncʉ̌ʼ$
      ^3/3<num>$ ^nàbtə̌/*nàbtə̌$
      ^3/3<num>$ ^moʼo/*moʼo$
      ^3/3<num>$ ^mɑ̂nzə̀/*mɑ̂nzə̀$
      ^3/3<num>$ ^miâgtə/*miâgtə$
      ^3/3<num>$ ^mfə̌dnjʉ/*mfə̌dnjʉ$
      ^3/3<num>$ ^mə̀kalə/*mə̀kalə$
      ^3/3<num>$ ^mə̀dʉ̂mbɑ̀/*mə̀dʉ̂mbɑ̀$
      ^3/3<num>$ ^mbwog/*mbwog$
      ^3/3<num>$ ^mbôg/*mbôg$
      ^3/3<num>$ ^mbid/*mbid$
      ^3/3<num>$ ^mbə̀ʼyɑ̂m/*mbə̀ʼyɑ̂m$
      ^3/3<num>$ ^mbə̀ʼ/*mbə̀ʼ$
      ^3/3<num>$ ^mbɑ̀b/*mbɑ̀b$
      ^3/3<num>$ ^Maria/*Maria$
      ^3/3<num>$ ^lɔtə̀/*lɔtə̀$
      ^3/3<num>$ ^lǒʼ/*lǒʼ$
      ^3/3<num>$ ^lǒ/*lǒ$
      ^3/3<num>$ ^ləʼ/*ləʼ$
      ^3/3<num>$ ^lâʼ/*lâʼ$
      ^3/3<num>$ ^kwêntsə/*kwêntsə$
      ^3/3<num>$ ^kǎmngɔ̌/*kǎmngɔ̌$
      ^3/3<num>$ ^kà/*kà$
      ^3/3<num>$ ^ì/*ì$
      ^3/3<num>$ ^ghòn/*ghòn$
      ^3/3<num>$ ^ghò/*ghò$
      ^3/3<num>$ ^ghəbtə/*ghəbtə$
      ^3/3<num>$ ^ghǎfàʼ/*ghǎfàʼ$
      ^3/3<num>$ ^fùʼ/*fùʼ$
      ^3/3<num>$ ^Fə̂ʼsab/*Fə̂ʼsab$
      ^3/3<num>$ ^fə̀n/*fə̀n$
      ^3/3<num>$ ^Duala/*Duala$
      ^3/3<num>$ ^diàŋ/*diàŋ$
      ^3/3<num>$ ^cobtə̀/*cobtə̀$
      ^3/3<num>$ ^bɑ̂n/*bɑ̂n$
      ^3/3<num>$ ^bɛdtə̂/*bɛdtə̂$
      ^3/3<num>$ ^Baka/*Baka$
      ^3/3<num>$ ^Â/*Â$
      ^3/3<num>$ ^â/*â$
      ^2/2<num>$ ^zə̂nnî/*zə̂nnî$
      ^2/2<num>$ ^ywîd/*ywîd$
      ^2/2<num>$ ^yemba/*yemba$
      ^2/2<num>$ ^yambassa/*yambassa$
      ^2/2<num>$ ^yabassi/*yabassi$
      ^2/2<num>$ ^wʉ̂d/*wʉ̂d$
      ^2/2<num>$ ^Tǔnndɑ̂/*Tǔnndɑ̂$
      ^2/2<num>$ ^tùʼ/*tùʼ$
      ^2/2<num>$ ^tswìtə/*tswìtə$
      ^2/2<num>$ ^tswitə/*tswitə$
      ^2/2<num>$ ^Tsə̀moʼo/*Tsə̀moʼo$
      ^2/2<num>$ ^tsə̀môʼo/*tsə̀môʼo$
      ^2/2<num>$ ^tsə̀ʼ/*tsə̀ʼ$
      ^2/2<num>$ ^tʉ̂scɔ̌/*tʉ̂scɔ̌$
      ^2/2<num>$ ^toupouri/*toupouri$
      ^2/2<num>$ ^toufam/*toufam$
      ^2/2<num>$ ^toʼtə̀/*toʼtə̀$
      ^2/2<num>$ ^tɔ̂̂/*tɔ̂̂$
      ^2/2<num>$ ^tɑ̂n/*tɑ̂n$
      ^2/2<num>$ ^Tikar/*Tikar$
      ^2/2<num>$ ^Tibati/*Tibati$
      ^2/2<num>$ ^tɛ̀dkʉlə/*tɛ̀dkʉlə$
      ^2/2<num>$ ^tǎŋngɔ̌/*tǎŋngɔ̌$
      ^2/2<num>$ ^tâmkù/*tâmkù$
      ^2/2<num>$ ^tǎmkù/*tǎmkù$
      ^2/2<num>$ ^tâmcɛd/*tâmcɛd$
      ^2/2<num>$ ^sûb/*sûb$
      ^2/2<num>$ ^sɑn/*sɑn$
      ^2/2<num>$ *^siècle/*siècle$
      ^2/2<num>$ ^shùm/*shùm$
      ^2/2<num>$ ^Shʉ̌/*Shʉ̌$
      ^2/2<num>$ ^Sâ/*Sâ$
      ^2/2<num>$ ^Ramadan/*Ramadan$
      ^2/2<num>$ ^peul/*peul$
      ^2/2<num>$ ^Pasa/*Pasa$
      ^2/2<num>$ ^nzîm/*nzîm$
      ^2/2<num>$ ^nzə̌nî/*nzə̌nî$
      ^2/2<num>$ ^nzə̌/*nzə̌$
      ^2/2<num>$ ^nyʉ̂m/*nyʉ̂m$
      ^2/2<num>$ ^Nǔm/*Nǔm$
      ^2/2<num>$ ^nufi/*nufi$
      ^2/2<num>$ ^ntumu/*ntumu$
      ^2/2<num>$ ^ntumə/*ntumə$
      ^2/2<num>$ ^ntswitə/*ntswitə$
      ^2/2<num>$ ^ntsiʼi/*ntsiʼi$
      ^2/2<num>$ ^ntsîʼ/*ntsîʼ$
      ^2/2<num>$ ^ntsiʼ/*ntsiʼ$
      ^2/2<num>$ ^ntɔ̂/*ntɔ̂$
      ^2/2<num>$ ^Ntɑm/*Ntɑm$
      ^2/2<num>$ ^ntɛn/*ntɛn$
      ^2/2<num>$ ^Ntamtə̀/*Ntamtə̀$
      ^2/2<num>$ ^ntàmtə̀/*ntàmtə̀$
      ^2/2<num>$ ^ntaʼ/*ntaʼ$
      ^2/2<num>$ ^nswɛnə/*nswɛnə$
      ^2/2<num>$ ^nswəʼ/*nswəʼ$
      ^2/2<num>$ ^Nsônɑ̌ndɔ/*Nsônɑ̌ndɔ$
      ^2/2<num>$ ^nsɔ̂/*nsɔ̂$
      ^2/2<num>$ ^nsî/*nsî$
      ^2/2<num>$ ^nshʉb/*nshʉb$
      ^2/2<num>$ ^nsàʼ/*nsàʼ$
      ^2/2<num>$ ^nô/*nô$
      ^2/2<num>$ ^nkwâ/*nkwâ$
      ^2/2<num>$ ^nkun/*nkun$
      ^2/2<num>$ ^nkuà/*nkuà$
      ^2/2<num>$ ^nkom/*nkom$
      ^2/2<num>$ ^nkə̂bnjʉ/*nkə̂bnjʉ$
      ^2/2<num>$ ^nkâg/*nkâg$
      ^2/2<num>$ ^nkǎ/*nkǎ$
      ^2/2<num>$ ^njwimtə/*njwimtə$
      ^2/2<num>$ ^njʉ̀mbwə/*njʉ̀mbwə$
      ^2/2<num>$ ^Njâgcu/*Njâgcu$
      ^2/2<num>$ ^Njʉ̂/*Njʉ̂$
      ^2/2<num>$ ^Nigeria/*Nigeria$
      ^2/2<num>$ ^ŋwànì/*ŋwànì$
      ^2/2<num>$ ^nguʼu/*nguʼu$
      ^2/2<num>$ ^Ngulabə/*Ngulabə$
      ^2/2<num>$ ^ngûbnàʼ/*ngûbnàʼ$
